id;external_id;name;description;organization_type;organization_group
1;psst or since;whoa drat however;nor;ha finally;excepting
2;psst coolly;naturally;hourly that practical;jeopardise;boohoo
3;unusual whoa;mostly;angrily hornet parched;horst expense;yuck easily
4;nautical giving;vast;geez;longingly minor;even
5;ha triumphantly;key;aboard;um;whether mmm
6;until oof accountability;independence;dally unless;polite;blah anxiously
7;hurtful godparent;excepting discrete;wherever next blissfully;drat mixed shabby;afore across
8;wonderfully suffice;than lightly;excluding loyalty;mask following seriously;incidentally um which
9;gigantic oily;depart sundae;inspection;gah rear imaginative;gadzooks
10;whoa;submitter;why;preclude tenderly worth;suitcase galvanize against
